id,Var1,Freq
11,4TH AV,1
28,ACADEMY HILL RD,15
35,ADAIR RD,1
39,ADAMSON ST,19
67,ALCORN ST,3
68,ALCOTT ST,7
69,ALDER ST,1
70,ALDIE ST,16
83,ALLEN RD,1
88,ALLSTON ST,94
103,AMBOY ST,1
114,AMORY ST,1
140,ANTWERP ST,17
141,APPIAN WY,3
162,ARDEN ST,3
171,ARLINGTON ST,37
173,ARMINGTON ST,17
177,ARTHUR ST,1
180,ASCOT ST,2
186,ASHFORD CT,5
187,ASHFORD ST,73
206,ATHOL ST,8
207,ATKINS ST,6
231,AVON ST,1
234,AYR RD,2
236,BABCOCK ST,16
241,BAGNAL ST,2
270,BARKER ST,1
276,BARROW ST,1
277,BARROWS ST,7
280,BARSTOW ST,1
298,BAYARD ST,3
305,BEACON ST,71
320,BEECHCROFT ST,28
337,BELLAMY ST,5
343,BELLVISTA RD,11
350,BENNET ST,7
351,BENNETT ST,5
354,BENSON ST,2
357,BENTLEY ST,2
376,BIGELOW ST,15
387,BIRMINGHAM PY,10
401,BLAINE ST,3
408,BLENFORD RD,1
443,BOSTONIA AV,1
445,BOTHWELL RD,8
446,BOULEVARD TR,4
473,BRACKETT ST,10
474,BRADBURY ST,7
490,BRAEMORE RD,8
494,BRAINERD RD,57
495,BRAINTREE ST,21
503,BRAYTON RD,8
504,BRECK AV,6
512,BRENTWOOD ST,4
520,BRIGHTON AV,327
521,BRIGHTON AVE,15
522,BRIGHTON ST,3
530,BROCK ST,1
534,BRONSDON ST,9
540,BROOK ST,4
548,BROOKS ST,26
549,BROOKSDALE RD,6
576,BUICK ST,1
602,BURTON ST,8
629,CAMBRIA ST,1
630,CAMBRIDGE ST,260
632,CAMBRIDGE TR,9
634,CAMELOT CT,10
654,CAROL AV,16
655,CAROL AVE,3
703,CENTOLA ST,1
726,CHAMPNEY ST,9
748,CHARLESVIEW ST,1
770,CHESTER ST,70
775,CHESTNUT HILL AV,80
776,CHESTNUT HILL AVE,2
777,CHESTNUT HILL DY,1
794,CHISWICK RD,33
795,CHISWICK TR,1
828,CLAYMOSS RD,9
842,CLEVEMONT AV,3
843,CLEVEMONT AVE,1
863,COLBORNE RD,22
864,COLBURN ST,1
870,COLERAIN RD,1
875,COLLISTON RD,1
893,COMMERCIAL CT,1
896,COMMON ST,1
898,COMMONWEALTH AV,971
899,COMMONWEALTH AVE,53
900,COMMONWEALTH CT,7
901,COMMONWEALTH TR,2
917,CONVERSE ST,2
922,COOLIDGE RD,4
933,COREY AV,1
934,COREY RD,43
935,COREY ST,1
936,CORINNE RD,2
978,CRESCENT AV,1
982,CRESTHILL RD,2
995,CROSSLAND PL,1
1005,CUFFLIN ST,1
1009,CUMMINGS RD,29
1023,CUSHMAN RD,1
1027,CYGNET ST,1
1029,CYPRESS RD,1
1030,CYPRESS ST,1
1094,DELAWARE PL,1
1104,DENBY RD,8
1130,DICKINSON RD,4
1133,DIGHTON ST,12
1146,DONNYBROOK RD,4
1191,DUNBOY ST,12
1194,DUNCKLEE ST,1
1209,DUSTIN ST,14
1210,DUVAL ST,3
1252,EASTBURN ST,5
1256,EASTON AV,1
1257,EASTON ST,13
1273,EDSON ST,1
1278,EGAN WY,1
1280,EGREMONT RD,11
1289,ELEANOR ST,4
1290,ELECTRIC AV,4
1297,ELKO ST,2
1317,ELMIRA ST,11
1325,EMBASSY RD,2
1329,EMERY RD,7
1333,EMPIRE ST,14
1337,ENGLEWOOD AV,12
1338,ENGLEWOOD AVE,1
1344,ERIC RD,1
1359,ETNA ST,6
1362,EULITA TR,1
1365,EUSTON RD,10
1368,EVANS RD,3
1376,EVERETT SQ,4
1377,EVERETT ST,74
1386,FAIRBANKS ST,9
1401,FALKLAND ST,10
1405,FANEUIL ST,96
1416,FARRINGTON AV,18
1417,FARRINGTON AVE,2
1418,FARRINGTON ST,2
1450,FERN ST,1
1459,FIDELIS WAY,5
1460,FIDELIS WY,59
1488,FORDHAM RD,9
1500,FOSTER CT,2
1501,FOSTER ST,60
1522,FRANKLIN ST,28
1543,FULLER ST,1
1557,GARDEN CT ST,1
1558,GARDEN ST,1
1559,GARDENA ST,15
1562,GARDNER ST,80
1563,GARDNER TR,1
1593,GERALD RD,17
1596,GERRISH ST,3
1619,GLENCOE ST,18
1627,GLENMONT RD,37
1628,GLENMORE ST,1
1632,GLENVILLE AV,96
1633,GLENVILLE AVE,6
1634,GLENVILLE TR,1
1647,GOODENOUGH ST,16
1649,GORDON AV,3
1652,GORDON ST,48
1654,GORHAM ST,16
1655,GOULD ST,1
1710,GREYCLIFF RD,1
1711,GREYCLIFFE RD,7
1712,GREYLOCK RD,21
1713,GREYMERE RD,1
1716,GRIGGS ST,1
1727,GUEST ST,14
1729,GUILFORD ST,3
1770,HANO ST,28
1788,HARDWICK ST,2
1789,HARDWICK TR,1
1799,HARRIET ST,13
